## RECSRecommendations Upload File
## RECS''## RECS'' indicates a Recommendations pre-process header. Please do not remove these lines.
## RECS
## RECSUse this file to upload product display information to Recommendations. Each product has its own row. Each line must contain 19 values and if not all are filled a space should be left.
## RECSThe last 100 columns (entity.custom1 - entity.custom100) are custom. The name 'customN' can be replaced with a custom name such as 'onSale' or 'brand'.
## RECSIf the products already exist in Recommendations then changes uploaded here will override the data in Recommendations. Any new attributes entered here will be added to the product''s entry in Recommendations.
## RECSentity.id,entity.name,entity.categoryId,entity.message,entity.thumbnailUrl,entity.value,entity.pageUrl,entity.inventory,entity.margin,entity.gratuito,entity.PublicoAlvo,entity.Tema,Entity.Subtema,Entity.Assuntos,entity.Segmentos,entity.DatasEspeciais,entity.Produtor,entity.perfilusuario,entity.familia,entity.PorteEmpresa,entity.TipoUsuario,entity.codigoCronos
1252,Conteúdos sobre Gestão Financeira,Artigo,Confira aqui tudo o que você precisa saber sobre gestão financeira e tributária para a sua empresa.,https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/PE/Imagens/Gestão Financeira e Tributaria_Capa Artigo (1).png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/pe/sebraeaz/conteudos-sobre-financas,61f6013b84e93810VgnVCM100000d701210aRCRD",,,Sim,Todos,Mercado e Vendas,Marketing,Marketing,Todos,0,PE,,,Todos,
1253,O que você precisa saber se tem uma ME ou EPP?,Artigo,Se você tem uma ME ou EPP é importante estar atento aos deveres e obrigações das categorias.,,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/al/artigos/o-que-voce-precisa-saber-se-tem-uma-me-ou-epp,3aaa81bfd846d810VgnVCM1000001b00320aRCRD",,,Sim,ME; EPP,Leis,Deveres E Obrigações,Me; Epp; Empreendedorismo; Negócio; Empresa,Todos,0,AL,,,ME; EPP,Pessoa Jurídica,
1254,Dicas de elaboração de um bom pitch para sua startup,Artigo,"Saber apresentar sua solução para o público, parceiros e investidores faz diferença no momento de negociação da sua empresa.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/imagem-inovaçao-dicas-de-elaboraçao-de-um-bom-pitch-para-sua-startup-jpeg.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/dicas-de-elaboracao-de-um-bom-pitch-para-sua-startup,314f8fa0672f0510VgnVCM1000004c00210aRCRD",,,Sim,ME; EPP,Inovação,Startup,,TIC,0,NA,,,ME; EPP,Pessoa Jurídica,
1255,Conheça 10 ferramentas tecnológicas para profissionais da educação,Artigo,"Com a tecnologia cada vez mais presente na educação, o uso de ferramentas tecnológicas gera novas possibilidades de aprendizagem em tempos de ensino híbrido.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/imagem-inovaçao-conheça-10-ferramentas-tecnologicas-para-profissionais-da-educaçao-jpeg.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/conheca-10-ferramentas-tecnologicas-para-profissionais-da-educacao,b459be0610028810VgnVCM1000001b00320aRCRD",,,Sim,ME; EPP,Inovação,Tecnologia Da Informação,Ferramentas Tecnológicas; Educação Híbrida; Ensino À Distância; Educadores,Ensino e Educação,0,NA,,,ME; EPP,Pessoa Jurídica,
1256,Amplie suas vendas oferecendo opções de pagamento com cartões,Artigo,Todo estabelecimento comercial precisa oferecer variadas opções de pagamento para seus clientes. Conheça o simulador criado pelo Sebrae.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/amplie-suas-vendas-oferecendo-opcoes-de-pagamento-com-cartoes,481d6e69cfb56410VgnVCM2000003c74010aRCRD",,,Sim,MEI; ME; EPP,Finanças,Meios De Pagamento,,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1257,Aprenda a aplicar um canvas de modelo de negócio,Artigo,Tire sua ideia de negócio do papel e aprenda a utilizar o Canvas Business nesse pontapé inicial.,,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/al/artigos/aprenda-a-aplicar-um-canvas-de-modelo-de-negocio,dce12acf8c428810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME,Planejamento,Plano De Negócios,Metodologias Ágeis; Estratégia,Todos,0,AL,,,MEI; ME,Pessoa Jurídica,
1258,O que é sonegação de impostos?,Artigo,"Conheça 4 formas fraudulentas de sonegar impostos, não deixe que sua empresa caia nessa!",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/UFs/AP/Imagens/xsonegar.png.pagespeed.ic.tEaRgOG1X-.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/o-que-e-sonegacao-de-impostos,98428178de8c5610VgnVCM1000004c00210aRCRD",,,Sim,Todos,Finanças,Impostos,O Que É Sonegação De Impostos?,Todos,0,AP,,,Todos,
1259,10 referências de empreendedoras de sucesso,Artigo,Conheça 10 empreendedoras de sucesso para se inspirar em 2024,,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/rj/artigos/10-referencias-de-empreendedoras-de-sucesso,3edf60f9b4fcc810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME,Empreendedorismo,Atitude Empreendedora,10 Referências De Empreendedoras De Sucesso,Todos,0,RJ,,,MEI; ME,Pessoa Jurídica,
1260,Como funcionam as rodadas de negócios,Artigo,"Rodadas de negócios são oportunidades para a cooperativa mostrar produtos e serviços, contatar parceiros, criar networking e realizar bons acordos.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_cooperacao-como-funcionam-as-rodadas-de-negocios_dupla-exposicao-do-crescimento-do-lucro-comercial_jpg..jpg.pagespeed.ic.b2QYRlDViW.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/como-funcionam-as-rodadas-de-negocios,bb95af40c74e5810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Cooperação,Cooperativa,,Associações,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1261,5 ideias de negócio para mães,Artigo,É mãe e sonha em ter o seu próprio negócio? Conheça as dicas e alternativas de empreendimentos que podem ser conciliados com a maternidade.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/resources/img/xsebrae_logo_azul.png.pagespeed.ic.BDIPNtclTd.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/5-ideias-de-negocio-para-maes,083b91b055e6f510VgnVCM1000004c00210aRCRD",,,Sim,PF,Empreendedorismo,Ideia De Negócio,,Todos,0,AP,,,PF,Pessoa Física,
1262,Conheça as normas que regem as cooperativas,Artigo,"Constituição Federal, Código Civil e Lei do Cooperativismo disciplinam a categoria.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_cooperacao_conheca-as-normas-que-regem-as-cooperativas.jpg.pagespeed.ic.JLf1NvtmwI.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/conheca-as-normas-que-regem-as-cooperativas,cc3b9e665b182410VgnVCM100000b272010aRCRD",,,Sim,MEI; ME; EPP,Leis,Legislação Para Cooperativas,"Assista Abaixo Ao Vídeo Da Série ""Cooperar É Um Bom Negócio"" Sobre Cooperativas.",Associações,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1263,CANVAS como fazer seu modelo de negócio - SEBRAE,Vídeo,CANVAS como fazer seu modelo de negócio - SEBRAE,https://i.ytimg.com/vi_webp/NA/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ba/videos/vídeos/canvas-como-fazer-seu-modelo-de-negocio-sebrae,a2258ece9269f810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Empreendedorismo,,#Canvas #Empreendedorismo #Passoapasso,Todos,0,BA,,,MEI,Pessoa Jurídica,
1264,Passo a passo de como implantar a solução de gestão de qualidade,Artigo,"Aprenda soluções para alinhar sua gestão, mantendo a qualidade dos produtos e serviços.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/passo-a-passo-de-como-implantar-a-solucao-de-gestao-de-qualidade,f22186062e60f510VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME; EPP,Planejamento,Gestão Estratégica De Empresas,Passa A Passo De Como Implantar A Solução De Gestão De Qualidade,Todos,0,AP,,,MEI; ME; EPP,Pessoa Jurídica,
1265,Como calcular Valuation da sua empresa | Caio Viana,Vídeo,Como calcular Valuation da sua empresa | Caio Viana,https://i.ytimg.com/vi_webp/sOyw2tQXyJs/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ba/videos/vídeos/como-calcular-valuation-da-sua-empresa-caio-viana,0994f74561edf810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Empreendedorismo,,#Precificacao #Valor #Valuation,Todos,0,BA,,,MEI,Pessoa Jurídica,
1266,Comportamento Empreendedor,Artigo,As melhores formas para desenvolver um comportamento para empreender com sucesso,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_empreendedorismo_comportamento-empreendedor.jpg.pagespeed.ic.gqN4MOTydo.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/comportamento-empreendedor,1cedfb94f7407810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Empreendedorismo,Empreendedor,Empreendedorismo;,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1267,Como montar uma empresa de assessoria e limpeza doméstica,Artigo,"Saiba como fazer um plano de negócios, a estruturação, o recrutamento de equipe e a divulgação de uma empresa de assessoria e limpeza doméstica.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/resources/img/xsebrae_logo_azul.png.pagespeed.ic.BDIPNtclTd.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/como-montar-uma-empresa-de-assessoria-domestica-e-pessoal,1fb63ea344900610VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME; EPP,Planejamento,Modelo Do Negócio,,Serviços pessoais,0,AP,,,MEI; ME; EPP,Pessoa Jurídica,
1268,Marketing digital para atrair clientes,Vídeo,"Entender que o marketing digital é para todos que estão dispostos a aprender, executar e lucrar mais.",https://i.ytimg.com/vi_webp/8vIYcbLbuII/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/es/videos/marketing-digital-paraatrair-clientes,a8a2c4a06070c710VgnVCM100000d701210aRCRD",,,Sim,MEI; ME; EPP,Mercado e Vendas,,Webinar; Dia Do Cliente; Atendimento; Vendas; Relacionamento; Digital,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1269,"Produtos das abelhas: características, benefícios e porque utilizar",Artigo,"Apesar de estar presente em diferentes setores comerciais, é muito comum resumir os produtos das abelhas ao mel. Saiba mais!",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/UFs/PE/Imagens/xsebraepe_sebraepe_image_48.jpeg.pagespeed.ic.nuwnIU9ZzE.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/pe/artigos/produtos-das-abelhas-caracteristicas-beneficios-e-porque-utilizar,782724c2f6fb8810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Mercado e Vendas,Agronegócio,Abelhas; Agronegócio; Vendas,Apicultura,0,PE,,,MEI; ME; EPP,Pessoa Jurídica,
1270,Estratégias Efetivas de Visual Merchandising para Aumentar as Vendas,Artigo,"Se você é um empreendedor ou gerencia um negócio, já deve ter ouvido falar sobre Visual Merchandising.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/estrategias-efetivas-de-visual-merchandising-para-aumentar-as-vendas,b9d3ace85e4ef510VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME; EPP,Mercado e Vendas,Ambiente De Venda,Visual Merchandising; Estratégias De Visual Merchandising; Varejo E Visual Merchandising; Otimização De Ponto De Venda; Experiência Do Cliente No Varejo; Design De Loja; Layout De Loja; Identidade De Marca No Varejo; Vendas No Varejo; Impacto Do Visual Merchandising,Todos,0,AP,,,MEI; ME; EPP,Pessoa Jurídica,
1271,Inovação como diferencial competitivo do seu negócio | Sérgio Guimarães,Vídeo,Inovação como diferencial competitivo do seu negócio | Sérgio Guimarães,https://i.ytimg.com/vi_webp/8cGch09BMOE/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ba/videos/vídeos/inovacao-como-diferencial-competitivo-do-seu-negocio-sergio-guimaraes,f75594baf968f810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Empreendedorismo,,#Empreendedorismo #Inovação #Sebrae,Todos,0,BA,,,MEI,Pessoa Jurídica,
1272,O que significa compliance para micro e pequenas empresas,Artigo,Conheça as diretrizes e práticas do compliance voltados para as micro e pequenas empresas.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/o-que-significa-compliance-para-micro-e-pequenas-empresas,6ca9949fca8e4810VgnVCM100000d701210aRCRD",,,Sim,MEI; ME; EPP,Inovação,Sustentabilidade,Compliance,Todos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1273,Como melhorar a produtividade dos negócios? Acompanhe 7 ideias,Artigo,"A produtividade influencia a lucratividade, a qualidade e o bem-estar dos funcionários. Conheça 7 ideias para melhorar a produtividade do seu negócio!",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/SP/Anexos/Cópia de B9 melhorar a produtividade.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/sp/artigos/como-melhorar-a-produtividade-dos-negocios-acompanhe-7-ideias,5488dde116a8d810VgnVCM1000001b00320aRCRD",,,Sim,PF,Empreendedorismo,Ideia De Negócio,Produtividade; Gestão,Todos,0,SP,,,PF,Pessoa Física,
1274,Tintas ecológicas: conheça as vantagens de usá-las na obra,Artigo,"As tintas ecológicas são feitas de pigmentos naturais e não recebem solventes, derivados do petróleo ou componentes sintéticos",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_casa_e_construcao_tintas-ecologicas-conheca-as-vantagens-de-usa-las-na-obra_shutterstock_1054088231.jpg.pagespeed.ic.JwoLqZPCwL.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/tintas-ecologicas-conheca-as-vantagens-de-usa-las-na-obra,419fe5badbca5810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Inovação,Diferencial,,Comércio varejista de materiais de construção; Energia; Indústria de base tecnológica,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1275,A importância do fluxo de caixa para a sobrevivência do seu negócio,Artigo,"MEI, neste artigo você irá aprender o que é fluxo de caixa, para que serve e a sua importância para o sucesso do negócio.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/A importância do fluxo de caixa para a sobrevivência do seu negócio.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/a-importancia-do-fluxo-de-caixa-para-a-sobrevivencia-do-seu-negocio,818cfac4377af510VgnVCM1000004c00210aRCRD",,,Sim,MEI,Finanças,Fluxo De Caixa,,Todos,0,AP,,,MEI,Pessoa Jurídica,
1276,Como a gestão financeira pode ajudar o MEI,Artigo,"Para que um negócio possa sobreviver e manter-se num mercado cada vez mais competitivo, torna-se necessário que o MEI faça a sua gestão de forma eficiente.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/como-a-gestao-financeira-pode-ajudar-o-mei,eb6d16ba3f862810VgnVCM100000d701210aRCRD",,,Sim,MEI,Finanças,Gestão Financeira,Gestão Financeira; Finanças,Todos,0,NA,,,MEI,Pessoa Jurídica,
1277,Um mercado que não para de crescer: produtos naturais,Artigo,O crescimento do mercado de produtos naturais no Brasil parece ter se transformado em uma constante.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem-empreendedorismo-um-mercado-que-nao-para-crescer-produstos-naturais-foto-verduras_jpeg..jpg.pagespeed.ic.nMPzNHSo-v.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/um-mercado-que-nao-para-de-crescer-produtos-naturais,9fee85ed24a76810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Mercado e Vendas,Análise De Tendência,,Comércio de alimentos e bebidas; Indústria de alimentos e bebidas; Cultivo de cereais; Cultivo de oleaginosas,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1278,Como fazer cadastro no GOV.BR para ser MEI,Vídeo,"Para se tornar MEI, cadastre-se no Gov.br, a chave para acessar atividades como Microempreendedor Individual e outros serviços do Governo.",https://i.ytimg.com/vi_webp/SWS6fZR9kMM/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/galeriavideo/como-fazer-cadastro-no-govbr-para-ser-mei,216f065a8ef5d810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Leis,,Mei; Gov.Br,Todos,0,NA,,,MEI,Pessoa Jurídica,
1279,Micro usina hidrelétrica é alternativa para pequenos negócios no campo,Artigo,"A geração de energia elétrica por micro usinas hidrelétricas, fonte renovável e sustentável, é uma alternativa eficiente para abastecer o campo.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_energia_micro-usina-hidreletrica-e-alternativa-para-pequenos-negocios-no-campo_shutterstock_438240724.jpg.pagespeed.ic.39lwX0ID83.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/micro-usina-hidreletrica-e-alternativa-para-pequenos-negocios-no-campo,f956df84320d5810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Inovação,Sustentabilidade,,Cultivos diversos; Energia; Serviços de construção; Serviços públicos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1280,Como emitir a guia DAS-MEI,Vídeo,"Pagar a Guia do Simples Nacional, que é o imposto do Microempreendedor Individual, é uma delas. Aqui você vai ver o passo a passo de como emitir a guia DAS",https://i.ytimg.com/vi_webp/A4_5vv4ZjYU/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/galeriavideo/como-emitir-a-guia-das-mei,4cad72d987800910VgnVCM1000001b00320aRCRD",,,Sim,MEI,Empreendedorismo,,Das; Mei; Guia Guia Das; Guia Mei,Todos,0,NA,,,MEI,Pessoa Jurídica,
1281,Como começar a vender autopeças pela internet,Artigo,"O comércio on-line é uma ótima maneira de conquistar clientes e aumentar os lucros, mas o empresário precisa se atentar a alguns pontos para garantir o sucesso.",https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximage_ecommerce_como-comecar-a-vender-autopecas-pela-internet.jpg.pagespeed.ic.80ka3SGpug.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/como-comecar-a-vender-autopecas-pela-internet,6917e7e1521e8510VgnVCM1000004c00210aRCRD",,,Sim,MEI; ME; EPP,Mercado e Vendas,Comércio Eletrônico,,Comércio varejista de autopeças,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1282,Uniformes de segurança para eletricistas NR10,Artigo,"Os profissionais que trabalham com eletricidade estão expostos a riscos graves de acidentes, como choques elétricos, arcos elétricos e explosões",https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/imagem-casa-e-construçao-uniformes-de-segurança-para-eletricistas-nr-10-jpeg.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/uniformes-de-seguranca-para-eletricistas-nr10,3892781563028810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Planejamento,Sobrevivência,,Energia,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1283,Entenda o que é Nota Fiscal Eletrônica e seus benefícios,Artigo,"Veja tudo sobre a Nota Fiscal Eletrônica neste artigo, suas características, benefícios e como emitir.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/nota-fiscal-eletronica-de-servico,90c41947e93c9410VgnVCM2000003c74010aRCRD",,,Sim,MEI; ME; EPP,Finanças,Transações Financeiras,,Todos,0,AP,,,MEI; ME; EPP,Pessoa Jurídica,
1284,O artesanato como expressão cultural da Região Sudeste,Artigo,"A miscelânea de povos da Região Sudeste, a mais urbanizada do Brasil, e a diversidade dos materiais utilizados promovem e destacam os produtos dos artesãos.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/imagem_artesanato_artesanato-como-expressao-cultural-regiao-sudeste_weaving-g586f69e2b_1920.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/o-artesanato-como-expressao-cultural-da-regiao-sudeste,c412798b33854810VgnVCM100000d701210aRCRD",,,Sim,PF; MEI,Mercado e Vendas,Ambiente De Venda,Artesanato; Artesãos; Região Sudeste; São Paulo; Rio De Janeiro; Espírito Santo; Minas Gerais,Artesanato,0,NA,,,PF; MEI,Pessoa Física; Pessoa Jurídica,
1285,Marketing digital: ferramentas que você precisa conhecer,Artigo,Descubra como construir uma presença digital marcante para o seu negócio e turbinar seu e-commerce.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/MEI/Jornada%20MEI/teste%20assinaturas%20de%20autor/x6.png.pagespeed.ic.7WbN-rw1S5.png,,"https://www.sebrae.com.br/sites/PortalSebrae/empreendedorismofeminino/artigoempreededorismofeminino/marketing-digital-ferramentas-que-voce-precisa-conhecer,68dd4c2a9978a710VgnVCM100000d701210aRCRD",,,Sim,MEI; ME,Empreendedorismo,Comportamento Empreendedor,Empreendedorismo; Empreendedorismo Feminino; Mulheres De Negócio,Todos,0,NA,,,MEI; ME,Pessoa Jurídica,
1286,Lean Startup e MVP: entendendo e aplicando os conceitos,Artigo,Evitar o desperdício é o objetivo do método lean. E o produto mínimo viável faz parte disso.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Artigos/Imagens/ximagem_inovacao_lean-startup-e-mvp-entendendo-e-aplicando-os-conceitos.jpg.pagespeed.ic.ZJ82EzUtbV.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/entenda-o-que-e-lean-startup,03ebb2a178c83410VgnVCM1000003b74010aRCRD",,,Sim,ME; EPP,Inovação,Startup,,TIC,0,NA,,,ME; EPP,Pessoa Jurídica,
1287,Biotecnologia e sustentabilidade na área de cosméticos e beleza,Artigo,Biotecnologia e beleza caminham de mãos dadas quando se discute o futuro da cosmetologia sob a ótica da sustentabilidade.,https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/imagem_Beleza-Biotecnologia-e-sustentabilidade-na-area-de-cosmeticos-e-beleza_shutterstock_659319469.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/biotecnologia-e-sustentabilidade-na-area-de-cosmeticos-e-beleza,7d6efaa1f1d34810VgnVCM100000d701210aRCRD",,,Sim,MEI; ME; EPP,Inovação,Sustentabilidade,Biotecnologia; Sustentabilidade; Cosméticos; Beleza,Beleza; Indústria de base tecnológica,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1288,Quando o MEI precisa declarar Imposto de Renda?,Vídeo,Quando o MEI precisa declarar Imposto de Renda?,https://i.ytimg.com/vi_webp/0DbyvSI1x1g/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ba/videos/vídeos/quando-o-mei-precisa-declarar-imposto-de-renda,73af9f3a7069f810VgnVCM1000001b00320aRCRD",,,Sim,MEI,Empreendedorismo,,#Empreendedorismo #Mei #Receitafederal,Todos,0,BA,,,MEI,Pessoa Jurídica,
1289,Conheça o sistema de franquias,Artigo,Entenda esse modelo de negócios e saiba como ele pode ser uma alternativa interessante para os empreendedores.,"https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/Banners%20Publicitarios/xbar,P20-,P20banner,P20.jpg.pagespeed.ic.PFhUHQJDAu.jpg",,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/conheca-o-sistema-de-franquias,6c9b39407feb3410VgnVCM1000003b74010aRCRD",,,Sim,ME; EPP,Mercado e Vendas,Franquia,Modelo De Negócio; Franchising; Franquia,Todos,0,NA,,,ME; EPP,Pessoa Jurídica,
1290,Como estrangeiros podem ser MEI no Brasil,Artigo,"Veja o passo a passo para se tornar um Microempreendedor Individual no Brasil, mesmo vindo de outro país.",https://www.sebrae.com.br/Sebrae/Portal Sebrae/UFs/AP/Imagens/Maikon Richardson Analista de Negócios do Sebrae Amapá.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/ap/artigos/mei-estrangeiro-voce-tambem-pode-ser-um,c42c3358be5ec410VgnVCM1000003b74010aRCRD",,,Sim,MEI,Leis,Microempreendedor Individual,Estrangeiro Empreender; Empreender No Brasil; Mei Estrangeiro,Todos,0,AP,,,MEI,Pessoa Jurídica,
1291,Saiba como abrir uma franquia de sucesso,Vídeo,"Antes de abrir a empresa, o franqueado deve analisar alguns pontos importantes. Assista ao vídeo e saiba mais.",https://i.ytimg.com/vi_webp/wpJQI-9kfNA/maxresdefault.webp,,"https://www.sebrae.com.br/sites/PortalSebrae/galeriavideo/como-abrir-uma-franquia,567e06ecf2650610VgnVCM1000004c00210aRCRD",,,Sim,PF,Mercado e Vendas,,Franchising; Marca; Gestão,Todos,0,NA,,,PF,Pessoa Física,
1292,Como funciona o mercado livre de energia,Artigo,"A cada ano, mais consumidores migram para o mercado livre em busca de economia no gasto com energia elétrica, além das várias outras vantagens",https://www.sebrae.com.br/Sebrae/Portal Sebrae/Artigos/Imagens/imagem_empreendedorismo_como-funciona-mercado-livre-de-energia_green-energy-with-hand-holding-an-environmental-light-bulb-background.jpg,,"https://www.sebrae.com.br/sites/PortalSebrae/artigos/como-funciona-o-mercado-livre-de-energia,b4e21fed76ee4810VgnVCM100000d701210aRCRD",,,Sim,MEI; ME; EPP,Inovação,Iniciativa Sustentável,,Energia; Serviços de construção; Serviços públicos,0,NA,,,MEI; ME; EPP,Pessoa Jurídica,
1293,Aplicativo Nota Fiscal Fácil (NFF) para produtores rurais,Artigo,O aplicativo tem como objetivo oferecer praticidade para o agricultor.,https://www.sebrae.com.br/Sebrae/Portal%20Sebrae/resources/img/xsebrae_logo_azul.png.pagespeed.ic.BDIPNtclTd.png,,"https://www.sebrae.com.br/sites/PortalSebrae/ufs/al/artigos/aplicativo-nota-fiscal-facil-nff-para-produtores-rurais,60afbe8ba2b8b810VgnVCM1000001b00320aRCRD",,,Sim,MEI; ME; EPP,Inovação,Aplicativo,Aplicativo; Nota Fiscal; Agricultor,Comércio atacadista rural,0,AL,,,MEI; ME; EPP,Pessoa Jurídica,
